Bulan Tanam;Luas Panen (X1);Curah Hujan (X2);Hama (X3);Hasil Panen
Jan – Apr 2009;14210;Baik (10);10.70%;91862
Mei – Ags 2009;10863;Kurang (-20);12%;68244
Sep – Des 2009;3185;Kurang (-20);11.90%;22737
Jan – Apr 2010;12254;Baik (10);5.90%;81121
Mei – Ags 2010;11851;Kurang (-20);75%;63034
Sep – Des 2010;6621;Baik (10);14.50%;46201
Jan – Apr 2011;13388;Baik (10);7.50%;87552
Mei – Ags 2011;12708;Kurang (-20);23.70%;77131
Sep – Des 2011;4603;Baik (10);19.70%;33321
Jan – Apr 2012;13355;Baik (10);1.90%;88343
Mei – Ags 2012;12291;Optimal (20);7.20%;82286
Sep – Des 2012;4559;Normal (0);4%;34635
Jan – Apr 2013;13102;Baik (10);10.50%;85337
Mei – Ags 2013;12393;Kurang (-20);30.80%;74008
Sep – Des 2013;7197;Normal (0);5.50%;50019
Jan – Apr 2014;13596;Baik (10);27.60%;85263
Mei – Ags 2014;11167;Baik (10);7.90%;74316
Sep – Des 2014;5424;Kurang (-20);27.50%;33268
Jan – Apr 2015;13006;Baik (10);1%;86431
Mei – Ags 2015;11169;Kurang (-20);11.50%;70152
Sep – Des 2015;5467;Optimal (20);3%;42561
Jan – Apr 2016;12149;Baik (10);26%;76962
Mei – Ags 2016;12338;Kurang (-20);55%;69432
Sep – Des 2016;5522;Normal (0);24.10%;36812
Jan – Apr 2017;13088;Optimal (20);1%;88102
Mei – Ags 2017;12292;Kurang (-20);60.90%;68126
Sep – Des 2017;4645;Kurang (-20);40.50%;26374